"SiteCode","SiteCountry","SiteLatitude","SiteLongitude","SiteMeanSST","SurveyDepth","coral_imputation","log(Biomass)","log(N_Recycling)","log(P_Recycling)","Taxonomic_Richness","Functional_Entropy","Phylogenetic_Entropy","Trait_Distinctiveness","Evolutionary_Distinctiveness","log(Herbivores_Biomass)","log(Invertivores_Biomass)","log(Piscivores_Biomass)","Endemism","Elasmobranch_Diversity","log(Low_Mg_Calcite)","log(High_Mg_Calcite)","log(Aragonite)","log(Monohydrocalcite)","log(Amorphous_Carbonate)","Trophic_Web_Robustness","Mean_Trophic_Level","Turnover_Available_Biomass","Selenium","Zinc","Omega_3","Calcium","Iron","Vitamin_A","log(Available_Biomass)","Aesthetic","Public_Interest","SurveyDate","SiteEcoregion","HDI","MarineEcosystemDependency","log(gravtot2)","mpa_name","mpa_enforcement","protection_status","mpa_iucn_cat","year","NN_score","NP_score"
"ACEH3","Indonesia",5.89492,95.25287,29.0810733844469,5,0.428571428571429,4.42494837274058,1.4405970131946,0.418103420842156,48,4.07675841446709,1.80408241347117,0.272447302157806,19.5441632515542,3.67423731970524,4.29458158505846,3.32245894874585,0.640263431820002,0,2.71023144549474,3.6485883202547,2.88602159766186,3.49353749683417,3.40812615741435,1.67278744373731,2.57711883637791,0.552226189736362,37.3663283635578,1.63533317345141,0.1372476404614,46.5697200023043,0.606792586320386,73.5598987208554,4.00583771527705,3093.18723285609,0.52579920391623,"23/02/2009","Western Sumatra",0.69,0.36433,1.88783254976816,"Kawasan Wisata","Medium","Restricted take","VI",2009,0.204981345314695,0.593831662988038
"ACEH4","Indonesia",5.88529,95.25431,29.0810733844469,6,0.322916666666667,4.64602083312726,1.8982629263949,0.892018773790264,47,3.06380478806994,1.46761616917134,0.268418227875261,18.7762883222569,3.54849587216334,4.56047806126058,2.8526720894243,0.62196860897164,0,2.99925568707934,4.05131192451358,2.56285114694215,3.2135173709917,3.80632030189778,1.71210478553839,2.49436432805661,0.40129708545922,25.6956648737287,1.68867396478706,0.146476272861045,77.5564694388385,0.764753748988009,162.725456295641,4.15896303199379,3342.80814736604,0.560138434996081,"23/02/2009","Western Sumatra",0.69,0.36433,1.80391019505685,"Kawasan Wisata","Medium","Restricted take","VI",2009,0.214402986773747,1.04836534540261
"ACEH7","Indonesia",5.89528,95.25436,29.0812376779847,5,0.414141414141414,4.30327601084754,1.44611614573746,0.397921580166382,46,3.37838068182373,1.79978310201938,0.26776969392268,16.644246413877,3.94616117795973,4.0419482973036,2.19403300016422,0.65071175678075,0,2.51475497094539,3.30831393236958,2.06021611083999,3.16252655913543,3.33379498250747,1.51674006260533,2.32807963202442,0.696278162695072,20.6827940031886,2.08337176319408,0.118037546292837,48.2916310365447,0.707208819217551,61.3822519801209,4.04417027058909,3302.07800021586,0.536188820904667,"24/02/2009","Western Sumatra",0.69,0.36433,1.88783254976816,"Kawasan Wisata","Medium","Restricted take","VI",2009,-0.380043217420897,0.85689840293764
"ACEH9","Indonesia",5.82587,95.37793,29.1249288061336,6,0.33,4.16952341968831,1.06748249292089,0.0182136958320551,48,3.69944063243032,1.90678920644069,0.271725882397856,17.2593474348723,3.81043283254998,3.84789447895681,2.92248227236134,0.645458003042678,0,2.37096372533552,3.5507993886237,2.53446955346798,2.67608951171363,3.59438855715397,1.64131952153026,2.55266476961151,0.508954230689898,25.8535631606866,1.30724494443491,0.130397831548813,48.4403955573269,0.541181348554389,72.9415559559958,4.07514108481654,3229.76920926069,0.523920856407263,"24/02/2009","Western Sumatra",0.69,0.36433,1.94254261730849,"Panglima Laut","Medium","Restricted take","IV",2009,-0.0935595920022146,0.453702441985714
"AH1","Indonesia",-3.73226,128.13721,28.249726177437,3.75,0.268975468974708,4.84336314838946,1.68376903063305,0.661991946480828,51,3.18547591235637,1.42309381418216,0.259070269266543,16.3042866296169,4.39476371248332,4.63990982006753,2.09370733609518,0.640471420492667,0.5,2.75533512644728,4.24822317661144,3.3355180602044,2.88207340184827,3.54028298612017,1.63615599696461,2.61515028546061,0.382583633268194,26.3489947336886,1.26789161626879,0.138508922643397,59.875951230192,0.591737338431416,102.518052824833,4.68549071270105,2629.97440317504,0.51706874343156,"13/09/2015","Banda Sea",0.69,0.36433,3.476214631342,NA,NA,"Fishing",NA,2015,0.14656643536934,0.415663916334872
"AIMS1","Australia",-23.53652,151.75731,24.2042935377875,9.1,0.161445783128386,4.24651249118189,1.06535344399206,0.0488034169417975,40,4.47486178468504,1.87718676335041,0.263263746797651,13.1912994131958,3.71884821894585,3.95129913963257,3.27084861945377,0.690595724237329,1,2.53653222005545,3.49007022440589,0.00551387167418562,2.62311719328211,3.13103041308241,1.69453679673725,2.64031493382528,0.131885096081731,40.2428419878122,1.46094023188119,0.128225101136541,37.9038524415178,0.564609733148647,103.868376706715,4.05297872216146,2712.77787383146,0.514466324781302,"2/10/2015","Central and Southern Great Barrier Reef",0.932,0.095532,0.760088216484295,"Great Barrier Reef MP","High","Restricted take multizoned","IV",2015,-0.0743665709592162,-0.059033752009041
"AIMS10","Australia",-23.175483,151.908633,24.563121577218,7.05,0.362939150593899,4.79508464173061,1.6460833037967,0.574533604846722,65,2.7443362578116,1.6864016283236,0.263359855542598,15.2893751474897,4.59062235168864,4.33172902454574,3.22747931114715,0.635854734787764,0,3.01526815311576,3.65130106007045,0.526474808724509,3.37304251638427,3.65017752042385,1.70368547324122,2.28546776408741,0.130203688645371,29.0620031400232,1.90124609153568,0.11602306487139,39.3624905378704,0.630011696745382,56.2422391467989,4.70171588643489,3835.29718160299,0.534725785982274,"6/10/2015","Central and Southern Great Barrier Reef",0.932,0.095532,0.378976626703331,"Great Barrier Reef MP","High","No take multizoned","II",2015,-0.0045223571614264,0.560584945425595
"AIMS11","Australia",-23.1762,151.91215,24.5626451259584,7.05,0.36816493542661,4.71524833483335,1.54783647413366,0.486069356840684,58,2.84305400411724,1.67581027895781,0.263237601046582,14.0526912166597,4.48734729924712,4.2983751667858,3.00221505088961,0.641243405307782,0,2.97497519478688,3.57098778014788,0.581216008714752,3.39138746566773,3.58271887734366,1.72580492669008,2.30612226044429,0.107875500417989,29.8487912862993,2.15460399170111,0.112939870534833,45.8689097518063,0.698631066822861,52.6410100743919,4.60961570957761,3256.07972035936,0.519329748004174,"7/10/2015","Central and Southern Great Barrier Reef",0.932,0.095532,0.378976626703331,"Great Barrier Reef MP","High","No take multizoned","II",2015,-0.0616408868548705,0.336923224300337
"AIMS12","Australia",-23.1778,151.915433,24.5626451259584,6.25,0.368856551911593,4.70710128767037,1.60222290689409,0.538734460243366,60,2.95316154295868,1.73792565423587,0.260812289362756,15.2767775836842,4.40142079061553,4.38525407497324,2.78793726347556,0.639679308769161,0,3.07170479872168,3.67359373223842,1.18207400430899,3.42347495876405,3.68057536744658,1.6514789810082,2.34044579042659,0.152456444883342,30.8554515082267,1.70823294055833,0.118306436678834,43.5340688580535,0.626811182074227,56.8466715164411,4.55656126028887,3385.84207454055,0.527868932498163,"7/10/2015","Central and Southern Great Barrier Reef",0.932,0.095532,0.37712296143845,"Great Barrier Reef MP","High","No take multizoned","II",2015,-0.0488095903672532,0.351353783580571
"AIMS2","Australia",-23.5341,151.74968,24.174874041621,8,0.260089686098655,4.39572893063978,1.18444175340083,0.162452660537084,44,3.48503382915735,1.74757389303141,0.266597833986419,15.3933818891787,4.05704813477174,4.0970590345294,2.60803017799308,0.70318607647457,0,2.68685123744012,3.42312506615282,1.36284125336439,2.7192471690312,3.25749621150063,1.79018927155785,2.3966655440887,0.0876552041313101,32.3472619305754,2.09935244881374,0.12022660027767,40.1561537930127,0.64660209307632,71.326141315319,4.24746865112782,2843.53223589926,0.514827366518386,"2/10/2015","Central and Southern Great Barrier Reef",0.932,0.095532,0.766034398016532,"Great Barrier Reef MP","High","Restricted take multizoned","IV",2015,-0.0503407565913263,0.0221523219048459
