"Scientific";"GBIF";"Sci_litt";"NCBI";"Wiki_views";"Wiki_verna";"Flickr"
"Bodianus axillaris";0,590646509367333;0,147348505711095;0,343224084561215;0,707897061160379;0,19195872000656;0,412993208959563
"Bodianus bilunulatus";0,447693208960771;0;0,287199436162961;0,71208200930138;0,19195872000656;0,288531272972542
"Bodianus diana";0,452746650013751;0;0,287199436162961;0,710494452868269;0,19195872000656;0,465338579208912
"Bodianus dictynna";0,4063903148125;0;0,187083410584149;0,662770081756884;0,19195872000656;0,368960404301142
"Bodianus diplotaenia";0,610702201860316;0,260990119689053;0,261283548624264;0,684679816729355;0,19195872000656;0,575803163086039
"Bodianus eclancheri";0,30412952090226;0;0,0985809614167076;0,611350430217892;0,19195872000656;0,300474357112997
"Bodianus loxozonus";0,51478719043818;0,185933112794847;0,200413085572808;0,619124529202175;0,19195872000656;0,173713135703695
"Bodianus mesothorax";0,490290860622446;0;0,300885523627967;0,685070990371009;0,30424737289683;0,452475239722786
"Bodianus perditio";0,416679127786708;0,260990119689053;0,2883134487135;0,618047517512396;0,19195872000656;0,34742627140739
"Bodianus rufus";0,776367489606458;0,363210164895204;0,357055483749425;0,756281966893357;0,38391744001312;0,853362195488317
"Bolbometopon muricatum";0,456856720228411;0,504461148345365;0,350487377414449;0,801280043910201;0,30424737289683;0,647900628520386
"Bothus mancus";0,474860446950311;0,0929665563974237;0,196276860639237;0,729734491378314;0,38391744001312;0,667013284329607
"Calotomus carolinus";0,608739246266146;0,333281618505943;0,427357722424554;0,691879790296047;0,19195872000656;0,497507511611753
"Calotomus spinidens";0,470124141517757;0,185933112794847;0,322382480372391;0,668772612512699;0,19195872000656;0,137664402986521
"Calotomus viridescens";0,308757816434601;0,0929665563974237;0,239802692546921;0,670081674422295;0,19195872000656;0,330693781123762
"Cantherhines dumerilii";0,58153437331402;0,147348505711095;0,336388586985205;0,700297669464737;0;0,545928464298761
"Cantherhines fronticinctus";0,337875801875375;0,0929665563974237;0,169926978580411;0,663322713461843;0;0,275328805973042
"Cantherhines longicaudus";0,104859967043103;0,0929665563974237;0,111065648398302;0,54382877485484;0;0
