"SurveyID","nb_species","aesthe_survey","aesthe_SR_survey","mean_AE","var_AE","ske_AE","kur_AE"
"10000027",34,1876.63698255116,2435.71163614839,-0.0076693420878003,0.000179106989123368,-0.0991302657771766,2.21832308797351
"10000028",27,1865.15924849358,2323.60649590586,-0.00845284866811797,0.000191375296127162,0.105572529458579,2.49002073948589
"10000029",33,1895.66647158901,2420.89448855093,-0.00788924575785366,0.000196043175500019,-0.122191196885544,2.16219105497476
"10000030",27,2087.80410690636,2323.60649590586,-0.00396324650614811,0.000161151635080547,-0.15028107438968,2.06894758010216
"10000031",28,1989.37828008576,2340.94327947849,-0.00581184968483886,0.000158165289992577,0.0583168392588905,2.61991438996947
"10000032",30,1976.34049782605,2374.18906024059,-0.00611363432218865,0.000130943745401575,0.105711380377959,2.38348743463775
"10000033",30,1987.21087557173,2374.18906024059,-0.00613530501055842,0.000163695240505899,0.0693761474448354,2.50835074497038
"10000034",25,1981.57777351397,2287.34065519221,-0.0059790197547075,0.000131366998426732,0.374255968039562,2.22334462103358
"10000035",22,1949.56424095665,2228.3491786518,-0.00607523414871478,0.00016146180909272,-0.101501769108712,2.56767451075231
"10000036",32,1981.83733764749,2405.71569249515,-0.00605697130592808,0.000172201213523791,-0.0362788486239744,2.2481775110653
"10000038",33,1733.81469306862,2420.89448855093,-0.0101155481617454,0.000155214861676889,-0.0792286604043621,2.30803588292541
"10000039",25,1953.88886577742,2287.34065519221,-0.0065653408353166,0.000237517020409302,0.390385380596438,2.9876343651913
"10000040",30,1821.66136159042,2374.18906024059,-0.00913472448669488,0.000147747153914995,0.173523781656005,3.11852764070826
"10000041",28,2061.64293327983,2340.94327947849,-0.00470558346919518,0.000145492815037926,-0.0890405957879451,2.32991635449093
"10000042",20,1885.64703641527,2185.35845629437,-0.00737544254611118,0.000206817404969731,-0.0511668209878266,1.91643613362377
"10000043",25,2002.90762519614,2287.34065519221,-0.00531159677653071,0.000206695061513306,-0.0829728062686113,1.94668843852544
"10000044",16,1973.66151987034,2087.92318348224,-0.00375196151192225,0.000107980373527088,0.277827830538525,2.82488636895585
"10000045",23,1943.42759017884,2248.68783741607,-0.00663152952477848,0.00014424088815994,0.147323018250541,2.93033564410746
"10000046",20,1975.4469087595,2185.35845629437,-0.00531501119184685,0.000124929062756412,0.211835894584675,2.85771857727011
"10000047",21,1986.12262453952,2207.26116887512,-0.00502705469880414,0.000149169561368732,0.656686473910125,2.3816997113617
"10000048",20,2047.31721678014,2185.35845629437,-0.0032624803484978,0.000182997874836119,0.16197911181599,1.7986946891352
"10000049",23,2091.24779019409,2248.68783741607,-0.00329936118641802,0.00010880327172032,0.277411238499482,2.62665756205582
"10000050",22,2140.2185855452,2228.3491786518,-0.0019215745763498,9.87847747687618e-05,0.478555348924178,2.78717822609776
"10000051",28,2141.04418327789,2340.94327947849,-0.00330593751435868,0.000136075020921717,0.013607272586028,2.60168158731293
"10000052",22,2070.63860312875,2228.3491786518,-0.00349542709868379,0.000218326917683169,-0.134203039777016,2.24332506501483
"10000053",20,2014.05933443575,2185.35845629437,-0.00429619018225874,0.000159267028493422,-0.00924802784028627,2.69142928249653
"10000054",19,1896.64386047544,2162.56636020013,-0.006905774268783,0.000211259864506532,0.128741500413995,2.31195949999892
"10000055",23,2031.54388736343,2248.68783741607,-0.00461594650400464,0.000158870440656669,-0.027192371205203,2.54125310981505
"10000056",27,1920.81538116021,2323.60649590586,-0.0073219511221719,0.000191308122571309,0.188824413625117,2.15012716358334
"10000057",26,1971.27971699279,2305.75108410937,-0.00626894155704509,0.000143593442729916,0.358309534487399,2.60600326189343
"10000058",23,2064.74062880879,2248.68783741607,-0.0038791930766515,0.00013198110920117,0.381874000122277,2.39789123807748
"10000059",19,1996.66714526275,2162.56636020013,-0.00420085699968722,0.000145370990233456,0.0668185847025576,3.01883180670767
"10000060",46,1958.19894154675,2590.94954296761,-0.00622220631145446,0.000124677384223958,0.323476294454902,2.5704755523688
"10000061",30,2032.4529826176,2374.18906024059,-0.00535905177487269,0.000110596720128073,-0.0249663728745701,3.51363335022948
"10000062",48,1921.50810298603,2613.58673801098,-0.00654496083073133,0.000135287550628881,0.21321105215702,2.57435474140254
"10000063",39,1859.23233863237,2504.98447234734,-0.0076440731919739,0.000148673351328223,0.157601602403426,2.43257820863222
"10000064",13,1966.63487839819,2001.16379457045,-0.00145041750183367,7.2749514494411e-05,0.876952578448111,3.94355475082366
"10000065",27,2273.43349117556,2323.60649590586,-0.000808491216115165,9.43615673612133e-05,0.277316254448211,2.76461220094838
"10000066",27,1996.25451798302,2323.60649590586,-0.00584030072977387,0.00010753725587397,0.492435883858031,2.81381709619957
"10000067",25,2063.06308598703,2287.34065519221,-0.00429991847730652,0.000136955548990014,0.186990841391166,2.67313097095469
"10000068",38,1978.09409103765,2491.71993967651,-0.00623890297318232,0.000130772257561774,-0.0224987220423427,3.28359949342178
"10000069",31,1999.08018268478,2390.15469389133,-0.00595569744048167,0.000165976449166107,-0.0643910800985674,2.59279898343654
"10000070",33,2084.13084677924,2420.89448855093,-0.00483178022452643,0.000190567277712726,-0.166406996388949,2.37055462106097
"10000071",21,1922.62805337141,2207.26116887512,-0.00690297144789834,0.00020339277367824,0.126910825971817,2.43103485406812
"10000072",22,1904.52668770999,2228.3491786518,-0.00785137564430743,0.000173217452598827,0.392596420475455,2.64493039217796
