ID,SPECIES_NAME,TAXONOMIC_NAME,Level,submitted_name,valid_name_FishBase,Genus_FishBase,Family_FishBase,Class_FishBase,AphiaID,rls_EM,Comment
585,Chiloscyllium punctatum,Chiloscyllium punctatum,species,Chiloscyllium punctatum,Chiloscyllium punctatum,Chiloscyllium,Hemiscylliidae,Elasmobranchii,277833,1,
586,Chirodactylus brachydactylus,Chirodactylus brachydactylus,species,Chirodactylus brachydactylus,Chirodactylus brachydactylus,Chirodactylus,Cheilodactylidae,Actinopterygii,218871,1,
587,Chirolophis ascanii,Chirolophis ascanii,species,Chirolophis ascanii,Chirolophis ascanii,Chirolophis,Stichaeidae,Actinopterygii,127071,1,
588,Chironemus marmoratus,Chironemus marmoratus,species,Chironemus marmoratus,Chironemus marmoratus,Chironemus,Chironemidae,Actinopterygii,280158,1,
589,Chironemus microlepis,Chironemus microlepis,species,Chironemus microlepis,Chironemus microlepis,Chironemus,Chironemidae,Actinopterygii,280159,1,
590,Chlorurus atrilunula,Chlorurus atrilunula,species,Chlorurus atrilunula,Chlorurus atrilunula,Chlorurus,Scaridae,Actinopterygii,219087,1,
591,Chlorurus bleekeri,Chlorurus bleekeri,species,Chlorurus bleekeri,Chlorurus bleekeri,Chlorurus,Scaridae,Actinopterygii,277504,1,
592,Chlorurus bowersi,Chlorurus bowersi,species,Chlorurus bowersi,Chlorurus bowersi,Chlorurus,Scaridae,Actinopterygii,277505,1,
593,Chlorurus capistratoides,Chlorurus capistratoides,species,Chlorurus capistratoides,Chlorurus capistratoides,Chlorurus,Scaridae,Actinopterygii,219080,1,
594,Chlorurus frontalis,Chlorurus frontalis,species,Chlorurus frontalis,Chlorurus frontalis,Chlorurus,Scaridae,Actinopterygii,277506,1,
595,Chlorurus gibbus,Chlorurus gibbus,species,Chlorurus gibbus,Chlorurus gibbus,Chlorurus,Scaridae,Actinopterygii,219088,1,
596,Chlorurus japanensis,Chlorurus japanensis,species,Chlorurus japanensis,Chlorurus japanensis,Chlorurus,Scaridae,Actinopterygii,219081,1,
597,Chlorurus microrhinos,Chlorurus microrhinos,species,Chlorurus microrhinos,Chlorurus microrhinos,Chlorurus,Scaridae,Actinopterygii,277507,1,
598,Chlorurus rhakoura,Chlorurus rhakoura,species,Chlorurus rhakoura,Chlorurus rhakoura,Chlorurus,Scaridae,Actinopterygii,277510,1,
599,Chlorurus sordidus,Chlorurus sordidus,species,Chlorurus sordidus,Chlorurus sordidus,Chlorurus,Scaridae,Actinopterygii,219082,1,
600,Chlorurus spilurus,Chlorurus spilurus,species,Chlorurus spilurus,Chlorurus spilurus,Chlorurus,Scaridae,Actinopterygii,712772,1,
601,Chlorurus strongylocephalus,Chlorurus strongylocephalus,species,Chlorurus strongylocephalus,Chlorurus strongylocephalus,Chlorurus,Scaridae,Actinopterygii,219086,1,
602,Choerodon anchorago,Choerodon anchorago,species,Choerodon anchorago,Choerodon anchorago,Choerodon,Labridae,Actinopterygii,277262,1,
603,Choerodon azurio,Choerodon azurio,species,Choerodon azurio,Choerodon azurio,Choerodon,Labridae,Actinopterygii,277263,1,
604,Choerodon cauteroma,Choerodon cauteroma,species,Choerodon cauteroma,Choerodon cauteroma,Choerodon,Labridae,Actinopterygii,277265,1,
605,Choerodon cephalotes,Choerodon cephalotes,species,Choerodon cephalotes,Choerodon cephalotes,Choerodon,Labridae,Actinopterygii,277266,1,
606,Choerodon cyanodus,Choerodon cyanodus,species,Choerodon cyanodus,Choerodon cyanodus,Choerodon,Labridae,Actinopterygii,277267,1,
607,Choerodon fasciatus,Choerodon fasciatus,species,Choerodon fasciatus,Choerodon fasciatus,Choerodon,Labridae,Actinopterygii,277268,1,
608,Choerodon graphicus,Choerodon graphicus,species,Choerodon graphicus,Choerodon graphicus,Choerodon,Labridae,Actinopterygii,277271,1,
609,Choerodon jordani,Choerodon jordani,species,Choerodon jordani,Choerodon jordani,Choerodon,Labridae,Actinopterygii,277272,1,
610,Choerodon monostigma,Choerodon monostigma,species,Choerodon monostigma,Choerodon monostigma,Choerodon,Labridae,Actinopterygii,277275,1,
611,Choerodon rubescens,Choerodon rubescens,species,Choerodon rubescens,Choerodon rubescens,Choerodon,Labridae,Actinopterygii,277278,1,
612,Choerodon schoenleinii,Choerodon schoenleinii,species,Choerodon schoenleinii,Choerodon schoenleinii,Choerodon,Labridae,Actinopterygii,218951,1,
613,Choerodon spp.,Choerodon spp.,genus,,,Choerodon,Labridae,Actinopterygii,,,
614,Choerodon venustus,Choerodon venustus,species,Choerodon venustus,Choerodon venustus,Choerodon,Labridae,Actinopterygii,277280,1,
615,Choerodon vitta,Choerodon vitta,species,Choerodon vitta,Choerodon vitta,Choerodon,Labridae,Actinopterygii,277281,1,
616,Chromileptes altivelis,Chromileptes altivelis,species,Chromileptes altivelis,Cromileptes altivelis,Cromileptes,Serranidae,Actinopterygii,218193,1,
617,Chromis abrupta,Chromis abrupta,species,Chromis abrupta,Chromis abrupta,Chromis,Pomacentridae,Actinopterygii,273704,1,
618,Chromis acares,Chromis acares,species,Chromis acares,Chromis acares,Chromis,Pomacentridae,Actinopterygii,273706,1,
